Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,15758423,721 Link Ln,Santa Rosa,CA 95401,3 beds,2 baths,1105 sqft,,490000,-122.734011,38.439954,6,1454,38,Sep-15,405000,Type:Single Family;Year Built:1959;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5662 sqft;Days on Zillow:6 Days;Price/sqft:$443;Saves:38;Past 12 months:,2018/4/27
status,15787190,131 Faught Ct,Santa Rosa,CA 95403,2 beds,2 baths,1212 sqft,383302,479000,-122.760681,38.511709,3,567,13,Jan-18,380050,Type:Condo;Year Built:1994;Heating:No Data;Cooling:No Data;Parking:No Data;HOA:$300/month;Days on Zillow:3 Days;Price/sqft:$395;Saves:13;Past 12 months:,2018/4/27
status,15747890,1236 Jean Dr,Sebastopol,CA 95472,3 beds,2 baths,1604 sqft,855958,829000,-122.825845,38.386136,14,2214,44,N/A,N/A,Type:Single Family;Year Built:1979;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:0.42 acres;Days on Zillow:14 Days;Price/sqft:$517;Saves:44;Past 12 months:,2018/4/27
status,15804255,507 Ragle Rd,Sebastopol,CA 95472,3 beds,1 bath,1346 sqft,889003,880000,-122.844774,38.406196,7,2183,74,Oct-12,450000,Type:Single Family;Year Built:1953;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1.4 acres;Days on Zillow:7 Days;Price/sqft:$654;Saves:74;Past 12 months:,2018/4/27
status,19275629,71 Roberts Rd,Inverness,CA 94937,3 beds,1 bath,#NAME?,1319560,1150000,-122.837896,38.079514,2,499,19,N/A,N/A,Type:Single Family;Year Built:1987;Heating:;Cooling:;Parking:No Data;Lot:3.72 acres;Days on Zillow:2 Days;Price/sqft:,2018/4/27
status,15821788,20090 Oyster Catcher Loop,Bodega Bay,CA 94923,3 beds,4 baths,3161 sqft,,1595000,-123.01219,38.305514,2,588,10,Apr-04,1200000,Type:Single Family;Year Built:1987;Heating:Other;Cooling:No Data;Parking:Attached Garage;Lot:6969 sqft;Days on Zillow:2 Days;Price/sqft:$505;Saves:10;Past 12 months:,2018/4/27
status,19798392,6112 Montgomery Ct,San Jose,CA 95135,3 beds,2 baths,1740 sqft,803111,729000,-121.75574,37.288399,8,2751,43,Mar-08,490000,Type:Single Family;Year Built:1973;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:2552 sqft;Days on Zillow:8 Days;Price/sqft:$419,2018/4/27
status,19405623,5131 Saint Helena Hwy,Napa,CA 94558,2 beds,1 bath,1492 sqft,,950000,-122.335158,38.35735,2,698,22,N/A,N/A,Type:Single Family;Year Built:1918;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1.11 acres;Days on Zillow:2 Days;Price/sqft:$637;Saves:22;Past 12 months:,2018/4/27
status,18541305,3315 Humphrey Ave,Richmond,CA 94804,3 beds,1 bath,1137 sqft,469573,439000,-122.335028,37.94883,2,236,14,Jan-12,195000,Type:Single Family;Year Built:1951;Heating:;Cooling:;Parking:No Data;Lot:2500 sqft;Days on Zillow:2 Days;Price/sqft:$386,2018/4/27
status,15757662,637 B St,Santa Rosa,CA 95401,2 beds,1 bath,1016 sqft,(4/23),544950,-122.718979,38.444976,28,3037,83,Jan-07,900000,Type:Single Family;Year Built:1920;Heating:No Data;Cooling:No Data;Parking:Off street On street;Lot:3920 sqft;Days on Zillow:28 Days;Price/sqft:$536;Saves:83;Past 12 months:,2018/4/27
status,18541051,761 33rd St,Richmond,CA 94804,3 beds,2 baths,1561 sqft,572278,549000,-122.336094,37.943079,1,438,28,May-03,400000,Type:Single Family;Year Built:1951;Heating:;Cooling:;Parking:2 spaces;Lot:5000 sqft;Days on Zillow:1 Day;Price/sqft:$352,2018/4/27
status,15866920,936 Pacific Ave,Santa Rosa,CA 95404,3 beds,2 baths,1217 sqft,,550000,-122.711123,38.452974,10,2389,47,Mar-03,325000,Type:Single Family;Year Built:1946;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:6969 sqft;Days on Zillow:10 Days;Price/sqft:$452;Saves:47;Past 12 months:,2018/4/27
status,2090292068,Residence Two Plan Fox Hollow,Santa Rosa,CA 95403,3 beds,3 baths,2183 sqft,827971,674990,-122.769653,38.458766,1,50,15,N/A,N/A,Type:Single Family;Year Built:2018;Heating:;Cooling:;Parking:2 spaces;Lot:;Days on Zillow:1 Day;Price/sqft:$309,2018/4/27
status,68545737,112 Mcbrown Rd,Petaluma,CA 94952,4 beds,5 baths,2993 sqft,1355016,1199000,-122.703545,38.268171,10,2222,75,May-04,430000,Type:Single Family;Year Built:2006;Heating:Stove;Cooling:Solar;Parking:3 spaces;Lot:5 acres;Days on Zillow:10 Days;Price/sqft:$401,2018/4/27
status,18276309,1110 Discovery Bay Blvd,Discovery Bay,CA 94505,4 beds,3 baths,2144 sqft,670672,769000,-121.600623,37.909494,Less than 1,15,N/A,Jun-15,699000,Type:Single Family;Year Built:1997;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:7200 sqft;Days on Zillow:Less than 1 day;Price/sqft:$359,2018/4/27
status,15865229,847 Strawberry Dr,Santa Rosa,CA 95404,2 beds,1 bath,720 sqft,572541,575000,-122.71419,38.467116,25,1759,41,N/A,N/A,Type:Single Family;Year Built:1950;Heating:Wall;Cooling:None;Parking:2 spaces;Lot:0.35 acres;Days on Zillow:25 Days;Price/sqft:$799;Saves:41;Past 12 months:,2018/4/27
status,15823724,461 Pepper Ln,Petaluma,CA 94952,3 beds,4 baths,2860 sqft,1552173,1650000,-122.733789,38.282976,6,1414,28,Nov-98,180000,Type:Single Family;Year Built:2000;Heating:Radiant;Cooling:Other Solar;Parking:10 spaces;Lot:5 acres;Days on Zillow:6 Days;Price/sqft:$577,2018/4/27
status,15783561,2528 Westberry Dr,Santa Rosa,CA 95403,2 beds,1 bath,994 sqft,320384,346000,-122.737589,38.45605,8,730,6,Apr-04,243000,Type:Condo;Year Built:1984;Heating:Forced air;Cooling:No Data;Parking:No Data;HOA:$360/month;Days on Zillow:8 Days;Price/sqft:$348;Saves:6;Past 12 months:,2018/4/27
status,95758972,1 Lafranchi Ln Nicasio,CA 94946,undefined,3 beds,3 baths,3400 sqft,,2500000,-122.701512,38.061698,14,1553,31,May-13,325000,Type:Single Family;Year Built:2018;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4.24 acres;Days on Zillow:14 Days;Price/sqft:$735;Saves:31,2018/4/27
status,15756717,135 Gray Ct,Santa Rosa,CA 95404,3 beds,2 baths,2963 sqft,828195,785000,-122.705283,38.438781,15,902,22,Jun-06,603000,Type:Multi Family;Year Built:1952;Heating:No Data;Cooling:No Data;Parking:4 spaces;MLS #:54786598;Days on Zillow:15 Days;Price/sqft:$265;Saves:22;Past 12 months:,2018/4/27
status,15787358,2462 Plata Ct,Santa Rosa,CA 95403,2 beds,1 bath,924 sqft,,284900,-122.736512,38.457954,Less than 1,237,8,Jun-05,275000,Type:Condo;Year Built:1971;Heating:No Data;Cooling:No Data;Parking:No Data;HOA:$240/month;Days on Zillow:Less than 1 day;Price/sqft:$308;Saves:8;Past 12 months:,2018/4/27
status,15785264,946 Kingwood St,Santa Rosa,CA 95401,3 beds,2 baths,1200 sqft,473421,465000,-122.731077,38.443331,13,1808,22,Dec-04,409000,Type:Single Family;Year Built:1994;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:3049 sqft;Days on Zillow:13 Days;Price/sqft:$388;Saves:22;Past 12 months:,2018/4/27
status,15850370,1465 Tammy Way,Santa Rosa,CA 95401,3 beds,3 baths,1198 sqft,500561,430000,-122.737138,38.448743,21,2192,38,Feb-00,198000,Type:Single Family;Year Built:1997;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:2613 sqft;Days on Zillow:21 Days;Price/sqft:$359;Saves:38;Past 12 months:,2018/4/27
status,2090292067,Residence Five Plan Fox Hollow,Santa Rosa,CA 95403,3 beds,3 baths,2466 sqft,964527,779990,-122.769653,38.458766,2,52,9,N/A,N/A,Type:Single Family;Year Built:2018;Heating:;Cooling:;Parking:2 spaces;Lot:;Days on Zillow:2 Days;Price/sqft:$316,2018/4/27
status,19294534,21 Valleystone Dr,San Rafael,CA 94903,5 beds,2.5 baths,2056 sqft,,,-122.549866,38.03884,8,1132,20,Aug-06,925000,Type:Single Family;Year Built:1965;Heating:Forced air Other;Cooling:Central;Parking:2 spaces;Lot:0.5 acres;Past 12 months:,2018/4/27
status,15844252,1702 Glenbrook Dr APT A,Santa Rosa,CA 95401,2 beds,2 baths,1044 sqft,317433,315000,-122.743102,38.436778,16,2487,79,Nov-11,69000,Type:Condo;Year Built:1979;Heating:No Data;Cooling:No Data;Parking:No Data;HOA:$390/month;Days on Zillow:16 Days;Price/sqft:$302;Saves:79;Past 12 months:,2018/4/27
status,2142209805,Iroquois StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,please contact the listing agent,brokerage,3 beds,3 baths,1200 sqft,,475000,-122.741624,38.455863,4,639,8,N/A,N/A,Type:Single Family;Year Built:2004;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1742 sqft;Days on Zillow:4 Days;Price/sqft:$396;Saves:8,2018/4/27
status,19804861,4612 Pacific Rim Way,San Jose,CA 95121,5 beds,3 baths,3020 sqft,1924508,1788000,-121.777338,37.298013,1,383,10,Sep-04,1125000,Type:Single Family;Year Built:1996;Heating:Forced air;Cooling:Central;Parking:2 spaces;Lot:0.54 acres;Days on Zillow:1 Day;Price/sqft:$592,2018/4/27
status,15759213,703 Simpson Pl,Santa Rosa,CA 95401,3 beds,2 baths,1052 sqft,297914,315000,-122.738211,38.442138,2,527,15,Aug-04,280000,Type:Single Family;Year Built:1972;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1306 sqft;Days on Zillow:2 Days;Price/sqft:$299;Saves:15;Past 12 months:,2018/4/27
status,15846712,2791 Mcbride Ln APT 188,Santa Rosa,CA 95403,3 beds,2.5 baths,1324 sqft,,,-122.730474,38.465285,350,N/A,6,Nov-03,299000,Type:Single Family;Year Built:1979;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1742 sqft;Past 12 months:,2018/4/27
status,15844519,1407 Rusch Ct,Santa Rosa,CA 95401,4 beds,3 baths,1483 sqft,483551,599000,-122.733661,38.432784,3,477,5,Mar-16,425000,Type:Single Family;Year Built:1988;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:3920 sqft;Days on Zillow:3 Days;Price/sqft:$404;Saves:5;Past 12 months:,2018/4/27
status,15787153,124 Creek Way,Santa Rosa,CA 95403,4 beds,3 baths,1894 sqft,,650000,-122.762491,38.508768,1,419,14,Sep-96,200000,Type:Single Family;Year Built:1990;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5227 sqft;Days on Zillow:1 Day;Price/sqft:$343;Saves:14;Past 12 months:,2018/4/27
status,15866616,1223 Moss Rock Ct,Santa Rosa,CA 95404,3 beds,2 baths,1605 sqft,814860,849000,-122.703151,38.459142,15,1598,22,Dec-03,459000,Type:Single Family;Year Built:1965;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:7840 sqft;Days on Zillow:15 Days;Price/sqft:$529;Saves:22;Past 12 months:,2018/4/27
status,15757298,513 Brookwood Ave,Santa Rosa,CA 95404,2 beds,1 bath,1009 sqft,442326,479900,-122.701105,38.436474,7,2036,76,Jul-99,170000,Type:Single Family;Year Built:1956;Heating:No Data;Cooling:No Data;Parking:1 space;Lot:6098 sqft;Days on Zillow:7 Days;Price/sqft:$476;Saves:76;Past 12 months:,2018/4/27
status,72553894,2248 Chanate Rd,Santa Rosa,CA 95404,3 beds,3 baths,1650 sqft,549480,550000,-122.718,38.464695,14,1177,17,Mar-13,306000,Type:Condo;Year Built:2006;Heating:Forced air;Cooling:Central;Parking:2 spaces;HOA:$198/month;Days on Zillow:14 Days;Price/sqft:$333;Saves:17;Past 12 months:,2018/4/27
status,19273004,22 Sir Francis Drake Blvd,Ross,CA 94957,3 beds,3 baths,2624 sqft,2299681,2495000,-122.554115,37.960966,Less than 1,277,6,N/A,N/A,Type:Single Family;Year Built:1939;Heating:Forced air;Cooling:Central;Parking:Carport;Lot:0.37 acres;Days on Zillow:Less than 1 day;Price/sqft:$951,2018/4/27
status,24934802,1810 Heidelberg Dr,Livermore,CA 94550,3 beds,2 baths,1239 sqft,818112,809950,-121.770128,37.662742,1,474,9,Dec-04,554000,Type:Single Family;Year Built:1972;Heating:;Cooling:;Parking:No Data;Lot:7971 sqft;Days on Zillow:1 Day;Price/sqft:$654,2018/4/27
status,80735420,274 Oak Ave,San Anselmo,CA 94960,5 beds,6 baths,5402 sqft,4500124,4495000,-122.571276,37.970895,1,358,14,Jun-05,3120000,Type:Single Family;Year Built:1983;Heating:;Cooling:;Parking:No Data;Lot:1.5 acres;Days on Zillow:1 Day;Price/sqft:$832,2018/4/27
status,19295667,24 Serra Way,San Rafael,CA 94903,4 beds,2 baths,1714 sqft,1285412,1275000,-122.568219,38.015801,9,1508,53,N/A,N/A,Type:Single Family;Year Built:1960;Heating:;Cooling:;Parking:No Data;Lot:7405 sqft;Days on Zillow:9 Days;Price/sqft:$744,2018/4/27
status,111413544,2983 N Francisco Way,Antioch,CA 94509,4 beds,2 baths,1707 sqft,432850,435000,-121.830614,37.992766,2,453,18,Jan-15,320000,Type:Single Family;Year Built:1970;Heating:Forced air;Cooling:Central;Parking:2 spaces;Lot:7501 sqft;Days on Zillow:2 Days;Price/sqft:$255,2018/4/27
status,19254622,319 Ralston Ave,Mill Valley,CA 94941,3 beds,3 baths,3530 sqft,2847500,1950000,-122.559609,37.918819,3,1178,19,N/A,N/A,Type:Single Family;Year Built:1987;Heating:Other;Cooling:;Parking:No Data;Lot:0.8 acres;Days on Zillow:3 Days;Price/sqft:$552,2018/4/27
status,2092267890,Residence 6 Plan Wilder,Orinda,CA 94563,4 beds,6 baths,4085 sqft,2516660,2210000,-122.18376,37.86124,1,25,14,N/A,N/A,Type:Single Family;Year Built:2018;Heating:;Cooling:;Parking:3 spaces;Lot:;Days on Zillow:1 Day;Price/sqft:$541,2018/4/27
status,19820558,5921 Mohawk Dr,San Jose,CA 95123,3 beds,2 baths,1208 sqft,947892,899950,-121.831912,37.240608,2,551,12,Oct-15,675000,Type:Single Family;Year Built:1967;Heating:Forced air;Cooling:Central;Parking:2 spaces;Lot:5989 sqft;Days on Zillow:2 Days;Price/sqft:$745,2018/4/27
status,15798829,2980 Warm Springs Rd,Glen Ellen,CA 95442,3 beds,5 baths,3168 sqft,,2795000,-122.551695,38.377647,2,393,14,N/A,N/A,Type:Single Family;Year Built:1993;Heating:Forced air;Cooling:None;Parking:Carport;Lot:2.36 acres;Days on Zillow:2 Days;Price/sqft:$882;Saves:14;Past 12 months:,2018/4/27
status,19299082,9 Sao Augustine Way,San Rafael,CA 94903,4 beds,2 baths,1827 sqft,1228727,1250000,-122.545196,38.00061,6,2323,119,Apr-12,725000,Type:Single Family;Year Built:1960;Heating:Radiant;Cooling:;Parking:2 spaces;Lot:8276 sqft;Days on Zillow:6 Days;Price/sqft:$684,2018/4/27
status,119590597,4801 Valerio St,Dublin,CA 94568,4 beds,3 baths,2344 sqft,1134509,1195000,-121.845627,37.717506,2,583,8,Dec-14,928500,Type:Single Family;Year Built:2014;Heating:;Cooling:;Parking:No Data;Lot:5423 sqft;Days on Zillow:2 Days;Price/sqft:$510,2018/4/27
status,24838700,1630 Mcgee Ave,Berkeley,CA 94703,3 beds,2 baths,1952 sqft,1101014,1125000,-122.278374,37.87619,1,922,54,Jul-97,259000,Type:Single Family;Year Built:1904;Heating:;Cooling:;Parking:No Data;Lot:3232 sqft;Days on Zillow:1 Day;Price/sqft:$576,2018/4/27
status,88797170,276 Sycamore Ave,Mill Valley,CA 94941,2 beds,1 bath,1273 sqft,1326013,1099000,-122.533584,37.897625,4,1091,33,N/A,N/A,Type:Single Family;Year Built:1945;Heating:;Cooling:;Parking:No Data;Lot:5662 sqft;Days on Zillow:4 Days;Price/sqft:$863,2018/4/27
status,24891971,1539 151st Ave,San Leandro,CA 94578,2 beds,1 bath,928 sqft,540325,525000,-122.126502,37.705984,34,N/A,59,N/A,N/A,Type:Single Family;Year Built:1948;Heating:;Cooling:;Parking:1 space;Lot:3920 sqft;Days on Zillow:34 Days;Price/sqft:$566,2018/4/27
status,19244449,26 Wimbledon Way,San Rafael,CA 94901,5 beds,4 baths,3142 sqft,1719789,1775000,-122.553922,37.984136,1,359,4,Aug-04,1055000,Type:Single Family;Year Built:1976;Heating:Forced air;Cooling:Central;Parking:2 spaces;Lot:10624 sqft;Days on Zillow:1 Day;Price/sqft:$565,2018/4/27
status,15798956,7910 Sonoma Mountain Rd,Glen Ellen,CA 95442,4 beds,6 baths,4372 sqft,,3750000,-122.550973,38.362911,2,473,20,Sep-92,585000,Type:Single Family;Year Built:1996;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:12.07 acres;Days on Zillow:2 Days;Price/sqft:$858;Saves:20;Past 12 months:,2018/4/27
status,15799023,2010 Morningside Mtn,Glen Ellen,CA 95442,4 beds,6 baths,4450 sqft,2554182,3570000,-122.528565,38.339962,9,652,9,N/A,N/A,Type:Single Family;Year Built:2003;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4.15 acres;Days on Zillow:9 Days;Price/sqft:$802;Saves:9;Past 12 months:,2018/4/27
status,19526032,121 Giffin Rd,Los Altos,CA 94022,2 beds,3 baths,1363 sqft,1717716,1500000,-122.111491,37.37251,2,746,14,Dec-94,335000,Type:Single Family;Year Built:1985;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:827 sqft;Days on Zillow:2 Days;Price/sqft:$1101,2018/4/27
status,19291284,473 Alameda De La Loma,Novato,CA 94949,3 beds,2 baths,1215 sqft,839520,799000,-122.55062,38.065973,9,2488,105,Jan-05,258000,Type:Single Family;Year Built:1962;Heating:Other;Cooling:Central;Parking:2 spaces;Lot:8276 sqft;Days on Zillow:9 Days;Price/sqft:$658,2018/4/27
status,19275596,9 Roberts Rd,Inverness,CA 94937,4 beds,2 baths,2420 sqft,1514063,1675000,-122.841782,38.077644,34,N/A,12,N/A,N/A,Type:Single Family;Year Built:2006;Heating:;Cooling:;Parking:No Data;Lot:1.47 acres;Days on Zillow:34 Days;Price/sqft:$692,2018/4/27
status,19275617,15 Drakes View Dr,Inverness,CA 94937,4 beds,3 baths,2828 sqft,1598749,1545000,-122.833382,38.077688,379,N/A,29,N/A,N/A,Type:Single Family;Year Built:1957;Heating:;Cooling:;Parking:No Data;Lot:1.49 acres;Days on Zillow:379 Days;Price/sqft:$546,2018/4/27
status,19681899,1496 Minnesota Ave,San Jose,CA 95125,4 beds,3 baths,1785 sqft,1358388,1100000,-121.909102,37.300753,Less than 1,332,8,N/A,N/A,Type:Single Family;Year Built:1957;Heating:Forced air;Cooling:;Parking:Attached Garage;Lot:5614 sqft;Days on Zillow:Less than 1 day;Price/sqft:$616,2018/4/27
status,61322741,960 Scott Blvd,Santa Clara,CA 95050,3 beds,3 baths,1508 sqft,1180286,998000,-121.959678,37.345367,3,1004,37,Apr-03,490000,Type:Condo;Year Built:2003;Heating:Forced air;Cooling:Central;Parking:Attached Garage;HOA:$320/month;Days on Zillow:3 Days;Price/sqft:$662,2018/4/27
status,19256921,10 Manor Ter,Mill Valley,CA 94941,6 beds,5 baths,4910 sqft,4831880,4995000,-122.537575,37.904292,9,2373,39,Jan-14,3075000,Type:Single Family;Year Built:1885;Heating:;Cooling:;Parking:4 spaces;Lot:9836 sqft;Days on Zillow:9 Days;Price/sqft:$1017,2018/4/27
status,19292921,190 Sandpiper Ct,Novato,CA 94949,3 beds,2 baths,1238 sqft,618407,589000,-122.53811,38.045752,4,967,34,May-15,525000,Type:Condo;Year Built:1987;Heating:Forced air;Cooling:None;Parking:1 space;HOA:$410/month;Days on Zillow:4 Days;Price/sqft:$476,2018/4/27
status,24814654,5937 Chelton Dr,Oakland,CA 94611,4 beds,3 baths,2431 sqft,1317484,1295000,-122.197218,37.824342,Less than 1,259,29,Nov-16,1350000,Type:Single Family;Year Built:1935;Heating:;Cooling:;Parking:No Data;Lot:0.35 acres;Days on Zillow:Less than 1 day;Price/sqft:$533,2018/4/27
status,2089874159,701 C St,Pt Reyes Station,CA 94956,4 beds,3 baths,3417 sqft,,2650000,-122.810255,38.068682,2,354,7,N/A,N/A,Type:Single Family;Year Built:1951;Heating:;Cooling:;Parking:No Data;Lot:4.96 acres;Days on Zillow:2 Days;Price/sqft:$776,2018/4/27
status,2090032617,15105 River Rd LOT 15119,Guerneville,CA 95446,2 beds,1 bath,1064 sqft,,500000,-122.983659,38.513374,10,678,20,N/A,N/A,Type:Single Family;Year Built:1947;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4.22 acres;Days on Zillow:10 Days;Price/sqft:$470;Saves:20;Past 12 months:,2018/4/27
status,15779535,4559 Sebastopol Rd,Santa Rosa,CA 95407,3 beds,2 baths,2318 sqft,1034906,1276500,-122.780903,38.421065,31,N/A,36,Dec-96,160000,Type:Single Family;Year Built:1953;Heating:No Data;Cooling:No Data;Parking:Garage;Lot:2.5 acres;Days on Zillow:31 Days;Price/sqft:$551;Saves:36;Past 12 months:,2018/4/27
status,15831127,430 Piezzi Ln,Santa Rosa,CA 95401,3 beds,2 baths,2431 sqft,1006351,998000,-122.796955,38.433679,5,1463,35,Jul-02,480000,Type:Single Family;Year Built:1964;Heating:Forced air;Cooling:No Data;Parking:Off street Attached Garage;Lot:0.8 acres;Days on Zillow:5 Days;Price/sqft:$411;Saves:35;Past 12 months:,2018/4/27
status,15830947,271 Oak Tree Dr,Santa Rosa,CA 95401,3 beds,3 baths,3273 sqft,1131847,1275000,-122.799071,38.435851,Less than 1,528,30,Oct-12,735000,Type:Single Family;Year Built:1963;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:0.53 acres;Days on Zillow:Less than 1 day;Price/sqft:$390;Saves:30;Past 12 months:,2018/4/27
status,2091410996,(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,please contact the listing agent,brokerage,4 beds,7 baths,8000 sqft,4060575,4100000,-122.87004,38.4161,94,N/A,9,N/A,N/A,Type:Single Family;Year Built:No Data;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:83.97 acres;Days on Zillow:94 Days;Price/sqft:$512;Saves:9,2018/4/27
status,19255857,480 Molino Ave,Mill Valley,CA 94941,4 beds,3 baths,2182 sqft,1868430,1395000,-122.540238,37.897893,3,1461,53,N/A,N/A,Type:Single Family;Year Built:1948;Heating:;Cooling:;Parking:No Data;Lot:6969 sqft;Days on Zillow:3 Days;Price/sqft:$639,2018/4/27
status,15806417,3453 Gravenstein Hwy S,Sebastopol,CA 95472,2 beds,1 bath,1144 sqft,(4/5),899000,-122.781194,38.368135,28,2400,62,May-96,165000,Type:Single Family;Year Built:1915;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4.58 acres;Days on Zillow:28 Days;Price/sqft:$786;Saves:62;Past 12 months:,2018/4/27
status,15862286,6128 Aaron Ct,Windsor,CA 95492,4 beds,3 baths,2500 sqft,(4/16),840000,-122.785874,38.530129,71,N/A,14,Aug-05,755000,Type:Single Family;Year Built:1989;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:7840 sqft;Days on Zillow:71 Days;Price/sqft:$336;Saves:14;Past 12 months:,2018/4/27
status,15830308,3280 Hicks Rd,Sebastopol,CA 95472,2 beds,1 bath,1010 sqft,,1599000,-122.866578,38.438516,177,N/A,7,Dec-88,140000,Type:Single Family;Year Built:1932;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:2.08 acres;Days on Zillow:177 Days;Price/sqft:$1583;Saves:7;Past 12 months:,2018/4/27
status,15747855,7572 Meadowlark Dr,Sebastopol,CA 95472,3 beds,3 baths,2600 sqft,,929000,-122.826641,38.388659,16,1784,24,Jul-09,685000,Type:Single Family;Year Built:1999;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:0.27 acres;Days on Zillow:16 Days;Price/sqft:$357;Saves:24;Past 12 months:,2018/4/27
status,15813337,7681 Averill Rd,Sebastopol,CA 95472,4 beds,4 baths,3670 sqft,,2250000,-122.822968,38.381343,23,2939,61,Jun-02,300000,Type:Single Family;Year Built:2003;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:2 acres;Days on Zillow:23 Days;Price/sqft:$613;Saves:61;Past 12 months:,2018/4/27
status,51603877,6943 Wallace St,Sebastopol,CA 95472,4 beds,2 baths,1574 sqft,(4/4),799000,-122.824339,38.405277,45,N/A,44,Jul-08,502000,Type:Single Family;Year Built:1919;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4791 sqft;Days on Zillow:45 Days;Price/sqft:$508;Saves:44;Past 12 months:,2018/4/27
status,15809711,15090 Rio Nido Rd,Guerneville,CA 95446,4 beds,3 baths,1982 sqft,,690000,-122.986161,38.523776,37,N/A,9,Aug-16,275000,Type:Multi Family;Year Built:1940;Heating:Baseboard Stove Wall;Cooling:No Data;Parking:Off street;MLS #:21806915;Days on Zillow:37 Days;Price/sqft:$348;Saves:9;Past 12 months:,2018/4/27
status,72549345,2901 Bloomfield Rd,Sebastopol,CA 95472,3 beds,2 baths,1440 sqft,771716,759950,-122.818721,38.351194,7,911,12,Aug-13,365000,Type:Single Family;Year Built:1980;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:2.88 acres;Days on Zillow:7 Days;Price/sqft:$528;Saves:12;Past 12 months:,2018/4/27
status,15814703,2455 Laguna Rd,Santa Rosa,CA 95401,4 beds,3 baths,2647 sqft,2775837,3495000,-122.852732,38.472672,105,N/A,8,Feb-01,1895000,Type:Single Family;Year Built:1990;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:30.5 acres;Days on Zillow:105 Days;Price/sqft:$1320;Saves:8;Past 12 months:,2018/4/27
status,125146975,16493 Rio Nido Rd,Guerneville,CA 95446,2 beds,1 bath,1116 sqft,456753,459000,-122.995901,38.522943,42,N/A,5,Jun-14,273000,Type:Single Family;Year Built:1963;Heating:No Data;Cooling:No Data;Parking:7 spaces;Lot:9000 sqft;Days on Zillow:42 Days;Price/sqft:$411;Saves:5;Past 12 months:,2018/4/27
status,15773745,2035 Blucher Valley Rd,Sebastopol,CA 95472,3 beds,3 baths,3708 sqft,,1195000,-122.833857,38.360056,76,N/A,19,Jul-12,578000,Type:Single Family;Year Built:1978;Heating:Other;Cooling:No Data;Parking:2 spaces;Lot:2.94 acres;Days on Zillow:76 Days;Price/sqft:$322;Saves:19;Past 12 months:,2018/4/27
status,15803991,7081 Fircrest Ave,Sebastopol,CA 95472,2 beds,1 bath,1244 sqft,,1200000,-122.817022,38.390057,148,N/A,8,N/A,N/A,Type:Single Family;Year Built:1894;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:2.94 acres;Days on Zillow:148 Days;Price/sqft:$965;Saves:8;Past 12 months:,2018/4/27
status,15863048,1640 Shiloh Rd,Windsor,CA 95492,3 beds,3 baths,2621 sqft,,2100000,-122.809066,38.524558,56,N/A,17,Jan-99,165000,Type:Single Family;Year Built:2004;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5 acres;Days on Zillow:56 Days;Price/sqft:$801;Saves:17;Past 12 months:,2018/4/27
status,15819793,19568 Redwood Dr,Monte Rio,CA 95462,2 beds,3 baths,1450 sqft,(4/15),729000,-122.993575,38.476787,24,2403,37,Jun-03,323000,Type:Single Family;Year Built:1969;Heating:No Data;Cooling:No Data;Parking:4 spaces;Lot:5998 sqft;Days on Zillow:24 Days;Price/sqft:$503;Saves:37;Past 12 months:,2018/4/27
