Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,19657272,14515 Chester Ave,Saratoga,CA 95070,7 beds,7 baths,7352 sqft,6374530,5180000,-122.003268,37.257157,2,676,72,Nov-15,4300000,Type:Single Family;Year Built:2004;Heating:Forced air Other;Cooling:Central;Parking:1 space;Lot:1.32 acres;Days on Zillow:2 Days;Price/sqft:$705,2018/4/27
status,19268598,5 Crest Rd,Belvedere Tiburon,CA 94920,5 beds,6 baths,4740 sqft,5178411,5295000,-122.468282,37.872669,198,N/A,31,May-17,420000,Type:Single Family;Year Built:1974;Heating:Forced air Other;Cooling:;Parking:2 spaces;Lot:0.5 acres;Days on Zillow:198 Days;Price/sqft:$1117,2018/4/27
status,2128982420,123 Nolan Ct,Forestville,CA 95436,3 beds,3 baths,2914 sqft,,5999000,-122.90346,38.472482,253,N/A,10,N/A,N/A,Type:Single Family;Year Built:1991;Heating:No Data;Cooling:Central;Parking:3 spaces;Lot:21.85 acres;Days on Zillow:253 Days;Price/sqft:$2059;Saves:10;Past 12 months:,2018/4/27
status,15801882,126 Palo Verde Ct,Sonoma,CA 95476,4 beds,3 baths,3032 sqft,1451495,1425000,-122.491843,38.334228,14,2297,37,Feb-10,640000,Type:Single Family;Year Built:1984;Heating:Forced air;Cooling:Central;Parking:2 spaces;Lot:0.71 acres;Days on Zillow:14 Days;Price/sqft:$470;Saves:37;Past 12 months:,2018/4/27
status,19610334,101 W Rincon Ave,Campbell,CA 95008,2 beds,2 baths,1141 sqft,836307,849888,-121.951532,37.285142,2,653,19,Apr-18,950000,Type:Condo;Year Built:1976;Heating:Radiant;Cooling:None;Parking:1 space;HOA:$321/month;Days on Zillow:2 Days;Price/sqft:$745,2018/4/27
status,15729338,4129 The Masters Dr,Fairfield,CA 94533,3 beds,2 baths,1958 sqft,,549900,-122.032899,38.298153,3,662,17,Jun-14,320000,Type:Single Family;Year Built:2005;Heating:Other;Cooling:Central;Parking:2 spaces;Lot:6098 sqft;Days on Zillow:3 Days;Price/sqft:$281;Saves:17;Past 12 months:,2018/4/27
status,19409144,25 Valley Club Cir,Napa,CA 94558,2 beds,3 baths,1542 sqft,,785000,-122.294411,38.331637,3,465,9,N/A,N/A,Type:Condo;Year Built:1987;Heating:No Data;Cooling:No Data;Parking:No Data;HOA:$525/month;Days on Zillow:3 Days;Price/sqft:$509;Saves:9;Past 12 months:,2018/4/27
status,18293393,5425 Sunset Meadows Ln,Oakley,CA 94561,5 beds,3 baths,1595 sqft,417047,470000,-121.72786,38.004279,3,728,38,Nov-14,299000,Type:Single Family;Year Built:1987;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:5702 sqft;Days on Zillow:3 Days;Price/sqft:$295,2018/4/27
status,111925625,88 Castenada Ave,San Francisco,CA 94116,5 beds,4.5 baths,4700 sqft,3033923,2488000,-122.462259,37.749712,98,N/A,32,N/A,N/A,Type:Single Family;Year Built:1977;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:4525 sqft;Days on Zillow:98 Days;Price/sqft:$529,2018/4/27
status,95406827,5585 Monaghan Way,Antioch,CA 94531,4 beds,3 baths,2710 sqft,595643,599800,-121.742196,37.967351,Less than 1,389,43,Oct-12,373000,Type:Single Family;Year Built:2012;Heating:Forced air;Cooling:Central;Parking:3 spaces;Lot:6503 sqft;Days on Zillow:Less than 1 day;Price/sqft:$221,2018/4/27
status,2090032616,(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,please contact the listing agent,brokerage,4 beds,3 baths,2186 sqft,(4/25),665000,-122.66804,38.4593,10,524,12,N/A,N/A,Type:Single Family;Year Built:1973;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:6969 sqft;Days on Zillow:10 Days;Price/sqft:$304;Saves:12,2018/4/27
status,15559132,1107 Royal Ln,San Carlos,CA 94070,3 beds,3 baths,2880 sqft,1808606,1679000,-122.284055,37.481604,1,189,5,Aug-14,1237000,Type:Single Family;Year Built:1985;Heating:Forced air;Cooling:None;Parking:2 spaces;Lot:2317 sqft;Days on Zillow:1 Day;Price/sqft:$583,2018/4/27
status,15701795,413 Corte Majorca,Vacaville,CA 95688,3 beds,2 baths,1535 sqft,,455000,-122.001602,38.37387,4,1186,44,Sep-17,415000,Type:Single Family;Year Built:1974;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:7840 sqft;Days on Zillow:4 Days;Price/sqft:$296;Saves:44;Past 12 months:,2018/4/27
status,15091375,4651 California St,San Francisco,CA 94118,4 beds,2.75 baths,#NAME?,2620911,2650000,-122.46758,37.784463,Less than 1,243,25,Sep-04,1515000,Type:Single Family;Year Built:1911;Heating:;Cooling:;Parking:Attached Garage;Lot:;Days on Zillow:Less than 1 day;Price/sqft:,2018/4/27
status,18352522,4748 Laura Dr,Concord,CA 94521,5 beds,2 baths,1556 sqft,619644,574900,-121.968471,37.970248,6,2498,98,N/A,N/A,Type:Single Family;Year Built:1954;Heating:;Cooling:;Parking:No Data;Lot:0.3 acres;Days on Zillow:6 Days;Price/sqft:$369,2018/4/27
status,15707890,403 Chelan Dr,Vacaville,CA 95687,4 beds,2 baths,1602 sqft,411614,429950,-121.968257,38.352085,3,816,24,Feb-16,340000,Type:Single Family;Year Built:1971;Heating:No Data;Cooling:No Data;Parking:Attached Garage;Lot:5662 sqft;Days on Zillow:3 Days;Price/sqft:$268;Saves:24;Past 12 months:,2018/4/27
